"District","Year","Grade","grade","DisCode","Subject","ME_n","ME_per","E_n","E_per","M_n","M_per","PM_n","PM_per","NM_n","NM_per","n_included","mean_SS","SGP","n_included_SGP"
"Attleboro",2021,10,"Grade 10","00160000","ELA",247,59,46,11,201,48,128,31,44,11,419,502.8,48.8,360
"Attleboro",2021,10,"Grade 10","00160000","MATH",186,45,10,2,176,43,166,40,61,15,413,495.2,34.4,361
"Auburn",2021,10,"Grade 10","00170000","ELA",129,68,27,14,102,53,57,30,5,3,191,509.8,52.9,183
"Auburn",2021,10,"Grade 10","00170000","MATH",125,66,29,15,96,51,53,28,12,6,190,508.5,47.2,182
"Avon",2021,10,"Grade 10","00180000","ELA",33,67,11,22,22,45,14,29,2,4,49,510.8,68.4,41
"Avon",2021,10,"Grade 10","00180000","MATH",21,43,3,6,18,37,22,45,6,12,49,495.8,31.6,41
"Ayer Shirley School District",2021,10,"Grade 10","06160000","ELA",71,72,17,17,54,55,20,20,7,7,98,511.8,65.8,87
"Ayer Shirley School District",2021,10,"Grade 10","06160000","MATH",47,47,6,6,41,41,39,39,13,13,99,499.5,34.7,87
"Barnstable",2021,10,"Grade 10","00200000","ELA",185,61,46,15,139,46,81,27,38,13,304,503.8,52.2,258
"Barnstable",2021,10,"Grade 10","00200000","MATH",122,40,19,6,103,34,130,43,50,17,302,494.2,33.9,257
"Baystate Academy Charter Public School (District)",2021,10,"Grade 10","35020000","ELA",12,22,1,2,11,20,35,64,8,15,55,488.7,47,52
"Baystate Academy Charter Public School (District)",2021,10,"Grade 10","35020000","MATH",10,18,0,0,10,18,34,62,11,20,55,482.3,26.3,53
"Bedford",2021,10,"Grade 10","00230000","ELA",178,87,81,40,97,48,21,10,5,2,204,523,61.1,183
"Bedford",2021,10,"Grade 10","00230000","MATH",164,80,61,30,103,50,35,17,5,2,204,517.5,50.2,185
"Belchertown",2021,10,"Grade 10","00240000","ELA",124,70,25,14,99,56,47,26,7,4,178,508.9,64,168
"Belchertown",2021,10,"Grade 10","00240000","MATH",86,48,13,7,73,41,80,45,12,7,178,499.6,41.6,167
"Bellingham",2021,10,"Grade 10","00250000","ELA",81,64,10,8,71,56,39,31,7,6,127,505.6,63.4,121
"Bellingham",2021,10,"Grade 10","00250000","MATH",58,46,8,6,50,39,56,44,13,10,127,498.8,40.4,121
"Belmont",2021,10,"Grade 10","00260000","ELA",253,88,118,41,135,47,33,11,3,1,289,523.1,58.8,254
"Belmont",2021,10,"Grade 10","00260000","MATH",248,85,113,39,135,46,37,13,6,2,291,521.1,39.7,257
"Berkshire Arts and Technology Charter Public (District)",2021,10,"Grade 10","04140000","ELA",21,66,9,28,12,38,10,31,1,3,32,509.4,42.8,32
"Berkshire Arts and Technology Charter Public (District)",2021,10,"Grade 10","04140000","MATH",16,50,6,19,10,31,13,41,3,9,32,502.5,24.8,32
"Berkshire Hills",2021,10,"Grade 10","06180000","ELA",79,75,27,26,52,50,23,22,3,3,105,515.1,66.1,86
"Berkshire Hills",2021,10,"Grade 10","06180000","MATH",58,58,8,8,50,50,34,34,8,8,100,503.3,49.4,82
"Berlin-Boylston",2021,10,"Grade 10","06200000","ELA",59,89,19,29,40,61,6,9,1,2,66,523.2,76.3,58
"Berlin-Boylston",2021,10,"Grade 10","06200000","MATH",51,77,10,15,41,62,14,21,1,2,66,513.6,58.9,58
"Beverly",2021,10,"Grade 10","00300000","ELA",204,64,42,13,162,50,101,31,16,5,321,505.6,51.1,276
"Beverly",2021,10,"Grade 10","00300000","MATH",131,41,10,3,121,38,146,46,41,13,318,493.4,26,277
"Billerica",2021,10,"Grade 10","00310000","ELA",197,72,38,14,159,58,64,23,12,4,273,509.5,53.8,253
"Billerica",2021,10,"Grade 10","00310000","MATH",171,63,25,9,146,54,84,31,16,6,271,504.9,39.7,253
"Blackstone Valley Regional Vocational Technical",2021,10,"Grade 10","08050000","ELA",240,79,79,26,161,53,64,21,1,0,305,515.4,58.4,292
"Blackstone Valley Regional Vocational Technical",2021,10,"Grade 10","08050000","MATH",188,62,26,9,162,53,105,35,11,4,304,505.5,38.1,291
"Blackstone-Millville",2021,10,"Grade 10","06220000","ELA",56,54,14,14,42,41,37,36,10,10,103,504,56.8,93
"Blackstone-Millville",2021,10,"Grade 10","06220000","MATH",43,42,1,1,42,41,44,43,16,16,103,493.6,28.4,93
"Blue Hills Regional Vocational Technical",2021,10,"Grade 10","08060000","ELA",136,61,25,11,111,50,78,35,10,4,224,504.9,58.2,217
"Blue Hills Regional Vocational Technical",2021,10,"Grade 10","08060000","MATH",88,39,6,3,82,37,112,50,24,11,224,494.4,31.2,218
"Boston",2021,10,"Grade 10","00350000","ELA",1147,45,214,8,933,37,899,35,510,20,2556,496,47,2094
"Boston",2021,10,"Grade 10","00350000","MATH",953,38,146,6,807,32,1002,40,565,22,2520,491.7,35.1,2079
"Boston Collegiate Charter (District)",2021,10,"Grade 10","04490000","ELA",45,56,8,10,37,46,27,33,9,11,81,503.9,45.3,66
"Boston Collegiate Charter (District)",2021,10,"Grade 10","04490000","MATH",40,50,3,4,37,46,27,34,13,16,80,500,22.2,66
"Boston Day and Evening Academy Charter (District)",2021,10,"Grade 10","04240000","ELA",9,39,1,4,8,35,13,57,1,4,23,493.9,NA,4
"Boston Day and Evening Academy Charter (District)",2021,10,"Grade 10","04240000","MATH",5,22,0,0,5,22,14,61,4,17,23,482.1,NA,3
"Boston Green Academy Horace Mann Charter School (District)",2021,10,"Grade 10","04110000","ELA",19,32,1,2,18,30,23,38,18,30,60,489.1,50.3,52
"Boston Green Academy Horace Mann Charter School (District)",2021,10,"Grade 10","04110000","MATH",10,17,0,0,10,17,29,48,21,35,60,479.6,38.3,52
"Boston Preparatory Charter Public (District)",2021,10,"Grade 10","04160000","ELA",33,42,3,4,30,38,33,42,12,15,78,495.6,39.5,71
"Boston Preparatory Charter Public (District)",2021,10,"Grade 10","04160000","MATH",26,33,1,1,25,32,43,55,9,12,78,491.2,31,71
"Bourne",2021,10,"Grade 10","00360000","ELA",62,73,14,16,48,56,20,24,3,4,85,511.7,52.9,79
"Bourne",2021,10,"Grade 10","00360000","MATH",38,44,2,2,36,42,44,51,4,5,86,497.3,29,80
"Braintree",2021,10,"Grade 10","00400000","ELA",286,72,67,17,219,55,99,25,13,3,398,510.7,45.7,372
"Braintree",2021,10,"Grade 10","00400000","MATH",251,63,60,15,191,48,127,32,20,5,398,508.1,47.5,373
"Bridgewater-Raynham",2021,10,"Grade 10","06250000","ELA",203,69,57,19,146,50,73,25,18,6,294,510.2,51.3,273
"Bridgewater-Raynham",2021,10,"Grade 10","06250000","MATH",173,59,38,13,135,46,95,33,23,8,291,504.6,30.7,270
"Bristol County Agricultural",2021,10,"Grade 10","09100000","ELA",75,67,24,21,51,46,37,33,0,0,112,511.8,52.3,103
"Bristol County Agricultural",2021,10,"Grade 10","09100000","MATH",68,61,8,7,60,54,41,37,3,3,112,503.8,37.7,103
"Bristol-Plymouth Regional Vocational Technical",2021,10,"Grade 10","08100000","ELA",176,52,23,7,153,45,147,43,16,5,339,501,51.9,322
"Bristol-Plymouth Regional Vocational Technical",2021,10,"Grade 10","08100000","MATH",128,38,6,2,122,36,177,53,30,9,335,493.6,34.5,318
"Brockton",2021,10,"Grade 10","00440000","ELA",305,35,39,4,266,31,365,42,202,23,872,489.7,45.3,668
"Brockton",2021,10,"Grade 10","00440000","MATH",196,22,15,2,181,21,418,48,261,30,875,483.1,29.4,662
"Brooke Charter School (District)",2021,10,"Grade 10","04280000","ELA",76,68,14,13,62,56,31,28,4,4,111,506.7,39.8,108
"Brooke Charter School (District)",2021,10,"Grade 10","04280000","MATH",66,62,9,8,57,53,31,29,10,9,107,503.8,20.3,104
"Brookline",2021,10,"Grade 10","00460000","ELA",377,82,154,33,223,48,75,16,9,2,461,519,44.7,422
"Brookline",2021,10,"Grade 10","00460000","MATH",358,78,139,30,219,48,86,19,13,3,457,518.1,36.9,418
"Burlington",2021,10,"Grade 10","00480000","ELA",149,70,42,20,107,50,48,23,16,8,213,510.3,57.6,194
"Burlington",2021,10,"Grade 10","00480000","MATH",123,57,18,8,105,49,69,32,24,11,216,502.7,32,193
"Cambridge",2021,10,"Grade 10","00490000","ELA",270,67,84,21,186,46,101,25,31,8,402,510.2,43.1,322
"Cambridge",2021,10,"Grade 10","00490000","MATH",238,60,72,18,166,42,119,30,43,11,400,506.4,34.1,318
"Canton",2021,10,"Grade 10","00500000","ELA",160,77,38,18,122,59,39,19,8,4,207,511.6,47.9,192
"Canton",2021,10,"Grade 10","00500000","MATH",134,64,20,10,114,55,60,29,15,7,209,504.8,38.2,194
"Cape Cod Regional Vocational Technical",2021,10,"Grade 10","08150000","ELA",93,57,12,7,81,49,62,38,9,5,164,502.8,63.1,144
"Cape Cod Regional Vocational Technical",2021,10,"Grade 10","08150000","MATH",43,26,1,1,42,26,97,60,23,14,163,489.5,30.6,145
"Carver",2021,10,"Grade 10","00520000","ELA",59,66,12,13,47,52,25,28,6,7,90,506.9,47.9,86
"Carver",2021,10,"Grade 10","00520000","MATH",49,55,6,7,43,48,33,37,7,8,89,502,45.2,84
"Central Berkshire",2021,10,"Grade 10","06350000","ELA",69,59,17,15,52,45,40,34,7,6,116,506.2,54.2,96
"Central Berkshire",2021,10,"Grade 10","06350000","MATH",54,47,6,5,48,41,53,46,9,8,116,499.4,39.1,96
"Chelmsford",2021,10,"Grade 10","00560000","ELA",267,83,99,31,168,52,44,14,12,4,323,518.6,53.4,294
"Chelmsford",2021,10,"Grade 10","00560000","MATH",227,70,64,20,163,51,76,24,19,6,322,512.6,38.1,295
"Chelsea",2021,10,"Grade 10","00570000","ELA",92,27,8,2,84,24,134,39,119,34,345,482.9,45.1,232
"Chelsea",2021,10,"Grade 10","00570000","MATH",51,15,0,0,51,15,181,52,115,33,347,478.5,34.4,234
"Chicopee",2021,10,"Grade 10","00610000","ELA",217,44,28,6,189,38,219,44,62,12,498,496.5,46.8,432
"Chicopee",2021,10,"Grade 10","00610000","MATH",155,31,11,2,144,29,257,52,84,17,496,489.7,22.9,430
"City on a Hill Charter Public School (District)",2021,10,"Grade 10","04370000","ELA",8,19,0,0,8,19,27,64,7,17,42,484.8,41,25
"City on a Hill Charter Public School (District)",2021,10,"Grade 10","04370000","MATH",5,12,0,0,5,12,24,57,13,31,42,478.3,22.3,26
"Clinton",2021,10,"Grade 10","00640000","ELA",56,52,7,7,49,46,37,35,14,13,107,497.4,44.6,89
"Clinton",2021,10,"Grade 10","00640000","MATH",36,34,2,2,34,32,54,51,16,15,106,489,43.1,89
"Codman Academy Charter Public (District)",2021,10,"Grade 10","04380000","ELA",9,24,0,0,9,24,26,68,3,8,38,490.1,47.3,30
"Codman Academy Charter Public (District)",2021,10,"Grade 10","04380000","MATH",0,0,0,0,0,0,26,68,12,32,38,474.1,25.6,29
"Cohasset",2021,10,"Grade 10","00650000","ELA",103,88,40,34,63,54,13,11,1,1,117,519.6,65.3,110
"Cohasset",2021,10,"Grade 10","00650000","MATH",91,80,12,11,79,69,20,18,3,3,114,512.1,55.2,107
"Collegiate Charter School of Lowell (District)",2021,10,"Grade 10","35030000","ELA",18,55,2,6,16,48,10,30,5,15,33,498.6,51.4,24
"Collegiate Charter School of Lowell (District)",2021,10,"Grade 10","35030000","MATH",19,58,3,9,16,48,10,30,4,12,33,498.8,40.2,24
"Community Charter School of Cambridge (District)",2021,10,"Grade 10","04360000","ELA",26,79,5,15,21,64,5,15,2,6,33,511.8,47.9,31
"Community Charter School of Cambridge (District)",2021,10,"Grade 10","04360000","MATH",22,67,2,6,20,61,10,30,1,3,33,504.6,33.6,31
"Concord-Carlisle",2021,10,"Grade 10","06400000","ELA",307,91,141,42,166,49,25,7,4,1,336,524.8,63.3,290
"Concord-Carlisle",2021,10,"Grade 10","06400000","MATH",281,83,106,31,175,52,52,15,4,1,337,519.8,55.3,292
"Danvers",2021,10,"Grade 10","00710000","ELA",134,64,22,10,112,53,64,30,13,6,211,506.2,60.9,198
"Danvers",2021,10,"Grade 10","00710000","MATH",86,41,8,4,78,37,95,45,29,14,210,494,36.1,196
"Dartmouth",2021,10,"Grade 10","00720000","ELA",167,73,57,25,110,48,54,23,9,4,230,513.4,51.5,191
"Dartmouth",2021,10,"Grade 10","00720000","MATH",139,60,17,7,122,53,74,32,17,7,230,503.7,25.7,192
"Dedham",2021,10,"Grade 10","00730000","ELA",119,71,27,16,92,55,40,24,9,5,168,511.1,61.4,149
"Dedham",2021,10,"Grade 10","00730000","MATH",110,65,22,13,88,52,45,27,14,8,169,507.4,53.2,149
"Dennis-Yarmouth",2021,10,"Grade 10","06450000","ELA",88,59,21,14,67,45,48,32,13,9,149,504.2,56.4,133
"Dennis-Yarmouth",2021,10,"Grade 10","06450000","MATH",81,54,10,7,71,48,51,34,17,11,149,499.7,47.2,134
"Dighton-Rehoboth",2021,10,"Grade 10","06500000","ELA",101,85,37,31,64,54,15,13,3,3,119,519,59.7,115
"Dighton-Rehoboth",2021,10,"Grade 10","06500000","MATH",76,65,7,6,69,59,35,30,6,5,117,503.8,28.2,112
"Douglas",2021,10,"Grade 10","00770000","ELA",57,73,13,17,44,56,16,21,5,6,78,511.8,56.5,70
"Douglas",2021,10,"Grade 10","00770000","MATH",37,47,5,6,32,41,32,41,9,12,78,498.4,41.3,70
"Dover-Sherborn",2021,10,"Grade 10","06550000","ELA",147,94,73,47,74,47,8,5,1,1,156,526.3,58,143
"Dover-Sherborn",2021,10,"Grade 10","06550000","MATH",143,92,54,35,89,57,10,6,3,2,156,522,60.7,144
"Dracut",2021,10,"Grade 10","00790000","ELA",108,64,22,13,86,51,47,28,15,9,170,506.3,42.9,153
"Dracut",2021,10,"Grade 10","00790000","MATH",94,55,14,8,80,47,59,34,19,11,172,501.3,32.7,156
"Dudley-Charlton Reg",2021,10,"Grade 10","06580000","ELA",120,62,24,12,96,50,58,30,15,8,193,506.8,48.8,178
"Dudley-Charlton Reg",2021,10,"Grade 10","06580000","MATH",114,59,17,9,97,50,59,31,20,10,193,501.6,40,177
"Duxbury",2021,10,"Grade 10","00820000","ELA",210,88,71,30,139,58,26,11,3,1,239,520.5,60.3,218
"Duxbury",2021,10,"Grade 10","00820000","MATH",192,80,29,12,163,68,46,19,2,1,240,513.2,58.3,220
"East Bridgewater",2021,10,"Grade 10","00830000","ELA",93,61,16,11,77,51,50,33,9,6,152,504.9,41.5,147
"East Bridgewater",2021,10,"Grade 10","00830000","MATH",67,44,10,6,57,37,76,49,11,7,154,497.3,33.2,149
"East Longmeadow",2021,10,"Grade 10","00870000","ELA",141,64,37,17,104,47,67,30,12,5,220,509.7,48,201
"East Longmeadow",2021,10,"Grade 10","00870000","MATH",97,44,20,9,77,35,103,46,22,10,222,499.1,29.7,205
"Easthampton",2021,10,"Grade 10","00860000","ELA",54,62,15,17,39,45,28,32,5,6,87,506.4,60.1,84
"Easthampton",2021,10,"Grade 10","00860000","MATH",43,50,4,5,39,45,38,44,5,6,86,500.3,29.9,83
"Easton",2021,10,"Grade 10","00880000","ELA",204,72,70,25,134,48,65,23,13,5,282,512.6,52.9,261
"Easton",2021,10,"Grade 10","00880000","MATH",189,68,42,15,147,53,81,29,10,4,280,508.3,32.3,257
"Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)",2021,10,"Grade 10","04520000","ELA",46,45,4,4,42,41,51,50,6,6,103,496.7,49.4,91
"Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)",2021,10,"Grade 10","04520000","MATH",24,24,0,0,24,24,53,52,25,25,102,483.1,29,91
"Essex North Shore Agricultural and Technical School District",2021,10,"Grade 10","08170000","ELA",336,84,104,26,232,58,62,16,2,1,400,517.5,64.5,365
"Essex North Shore Agricultural and Technical School District",2021,10,"Grade 10","08170000","MATH",225,56,10,3,215,54,163,41,12,3,400,500.9,31.8,364
"Everett",2021,10,"Grade 10","00930000","ELA",189,41,27,6,162,36,187,41,80,18,456,494,48.9,370
"Everett",2021,10,"Grade 10","00930000","MATH",102,23,7,2,95,21,246,55,103,23,451,484.4,24.8,366
"Excel Academy Charter (District)",2021,10,"Grade 10","04100000","ELA",98,64,8,5,90,59,46,30,8,5,152,503.7,38.3,149
"Excel Academy Charter (District)",2021,10,"Grade 10","04100000","MATH",81,52,2,1,79,51,66,42,9,6,156,498.5,23,153
"Fairhaven",2021,10,"Grade 10","00940000","ELA",108,62,19,11,89,51,57,33,8,5,173,505.5,52.1,164
"Fairhaven",2021,10,"Grade 10","00940000","MATH",90,53,17,10,73,43,67,39,14,8,171,500.6,38.5,161
"Fall River",2021,10,"Grade 10","00950000","ELA",174,32,28,5,146,27,212,39,154,29,540,487.8,40.1,431
"Fall River",2021,10,"Grade 10","00950000","MATH",96,18,9,2,87,16,252,47,184,35,532,480.5,23.4,422
"Falmouth",2021,10,"Grade 10","00960000","ELA",154,79,49,25,105,54,33,17,9,5,196,516.1,52.2,180
"Falmouth",2021,10,"Grade 10","00960000","MATH",119,61,22,11,97,50,66,34,9,5,194,505.8,23.5,177
"Fitchburg",2021,10,"Grade 10","00970000","ELA",129,40,21,6,108,33,127,39,69,21,325,493.4,42.2,271
"Fitchburg",2021,10,"Grade 10","00970000","MATH",76,23,9,3,67,21,173,53,76,23,325,486.6,31.2,271
"Four Rivers Charter Public (District)",2021,10,"Grade 10","04130000","ELA",29,78,9,24,20,54,7,19,1,3,37,517.1,59.2,34
"Four Rivers Charter Public (District)",2021,10,"Grade 10","04130000","MATH",26,70,3,8,23,62,9,24,2,5,37,505.8,43.6,34
"Foxborough",2021,10,"Grade 10","00990000","ELA",129,69,43,23,86,46,43,23,14,8,186,511.5,54.9,170
"Foxborough",2021,10,"Grade 10","00990000","MATH",131,70,29,16,102,55,38,20,17,9,186,508.2,36.4,170
"Foxborough Regional Charter (District)",2021,10,"Grade 10","04460000","ELA",59,69,15,17,44,51,25,29,2,2,86,510.3,61.5,86
"Foxborough Regional Charter (District)",2021,10,"Grade 10","04460000","MATH",42,49,5,6,37,44,36,42,7,8,85,499.6,39.5,85
"Framingham",2021,10,"Grade 10","01000000","ELA",293,65,91,20,202,45,114,25,43,10,450,509.1,58.7,390
"Framingham",2021,10,"Grade 10","01000000","MATH",239,56,47,11,192,45,142,33,46,11,427,502.8,36.5,373
"Francis W. Parker Charter Essential (District)",2021,10,"Grade 10","04780000","ELA",60,90,19,28,41,61,7,10,0,0,67,521.1,64,64
"Francis W. Parker Charter Essential (District)",2021,10,"Grade 10","04780000","MATH",44,66,5,7,39,58,22,33,1,1,67,507.5,30.9,65
"Franklin",2021,10,"Grade 10","01010000","ELA",329,79,134,32,195,47,76,18,10,2,415,518.1,58.6,396
"Franklin",2021,10,"Grade 10","01010000","MATH",270,65,64,15,206,50,130,31,14,3,414,508.9,33.6,395
"Franklin County Regional Vocational Technical",2021,10,"Grade 10","08180000","ELA",40,29,1,1,39,28,79,58,18,13,137,491.2,46.2,122
"Franklin County Regional Vocational Technical",2021,10,"Grade 10","08180000","MATH",32,23,0,0,32,23,73,53,32,23,137,484.5,24.8,122
"Freetown-Lakeville",2021,10,"Grade 10","06650000","ELA",146,77,56,29,90,47,35,18,9,5,190,516.9,66.6,170
"Freetown-Lakeville",2021,10,"Grade 10","06650000","MATH",125,66,28,15,97,51,53,28,12,6,190,508.5,47.1,169
"Frontier",2021,10,"Grade 10","06700000","ELA",71,79,18,20,53,59,17,19,2,2,90,513.5,64.1,79
"Frontier",2021,10,"Grade 10","06700000","MATH",58,64,7,8,51,57,28,31,4,4,90,505.4,36.9,79
"Gardner",2021,10,"Grade 10","01030000","ELA",40,40,8,8,32,32,48,48,11,11,99,496.7,61.7,78
"Gardner",2021,10,"Grade 10","01030000","MATH",24,24,2,2,22,22,48,49,26,27,98,484.3,33.6,79
"Gateway",2021,10,"Grade 10","06720000","ELA",33,70,12,26,21,45,12,26,2,4,47,511.3,62.5,45
"Gateway",2021,10,"Grade 10","06720000","MATH",21,45,0,0,21,45,21,45,5,11,47,494,36,45
"Georgetown",2021,10,"Grade 10","01050000","ELA",62,75,17,20,45,54,18,22,3,4,83,512.5,51.6,78
"Georgetown",2021,10,"Grade 10","01050000","MATH",47,57,4,5,43,52,30,36,6,7,83,501.9,46.7,78
"Gill-Montague",2021,10,"Grade 10","06740000","ELA",16,48,4,12,12,36,11,33,6,18,33,499.9,51.9,29
"Gill-Montague",2021,10,"Grade 10","06740000","MATH",13,41,0,0,13,41,14,44,5,16,32,493.8,26.9,28
"Global Learning Charter Public (District)",2021,10,"Grade 10","04960000","ELA",25,57,4,9,21,48,15,34,4,9,44,500.6,54.9,43
"Global Learning Charter Public (District)",2021,10,"Grade 10","04960000","MATH",19,43,5,11,14,32,15,34,10,23,44,495.5,35.9,43
"Gloucester",2021,10,"Grade 10","01070000","ELA",101,64,27,17,74,47,42,27,15,9,158,506.4,57.7,144
"Gloucester",2021,10,"Grade 10","01070000","MATH",79,50,20,13,59,38,61,39,17,11,157,501.2,47.3,143
"Grafton",2021,10,"Grade 10","01100000","ELA",168,75,62,28,106,47,45,20,11,5,224,514.4,50.8,217
"Grafton",2021,10,"Grade 10","01100000","MATH",153,70,34,16,119,54,55,25,11,5,219,509.1,36.1,212
"Granby",2021,10,"Grade 10","01110000","ELA",33,59,5,9,28,50,18,32,5,9,56,503.3,60.1,53
"Granby",2021,10,"Grade 10","01110000","MATH",28,50,2,4,26,46,22,39,6,11,56,497.5,40.2,53
"Greater Fall River Regional Vocational Technical",2021,10,"Grade 10","08210000","ELA",228,64,44,12,184,52,116,33,12,3,356,506.4,58.9,306
"Greater Fall River Regional Vocational Technical",2021,10,"Grade 10","08210000","MATH",156,44,8,2,148,42,176,49,24,7,356,496,28.7,306
"Greater Lawrence Regional Vocational Technical",2021,10,"Grade 10","08230000","ELA",215,52,21,5,194,47,172,41,29,7,416,500,54.1,387
"Greater Lawrence Regional Vocational Technical",2021,10,"Grade 10","08230000","MATH",120,29,6,1,114,27,253,61,43,10,416,490.6,21.2,386
"Greater Lowell Regional Vocational Technical",2021,10,"Grade 10","08280000","ELA",205,48,21,5,184,43,181,42,45,10,431,498.7,45,389
"Greater Lowell Regional Vocational Technical",2021,10,"Grade 10","08280000","MATH",137,32,10,2,127,30,220,52,70,16,427,491.3,25.7,387
"Greater New Bedford Regional Vocational Technical",2021,10,"Grade 10","08250000","ELA",252,50,30,6,222,44,217,43,34,7,503,499.7,49.6,433
"Greater New Bedford Regional Vocational Technical",2021,10,"Grade 10","08250000","MATH",191,38,9,2,182,36,281,56,31,6,503,494.9,43.5,434
"Greenfield",2021,10,"Grade 10","01140000","ELA",31,37,4,5,27,32,30,36,23,27,84,490.2,32.8,70
"Greenfield",2021,10,"Grade 10","01140000","MATH",32,39,3,4,29,35,28,34,23,28,83,488.3,27.9,69
"Greenfield Commonwealth Virtual District",2021,10,"Grade 10","39010000","ELA",27,60,3,7,24,53,13,29,5,11,45,501.2,31.9,22
"Greenfield Commonwealth Virtual District",2021,10,"Grade 10","39010000","MATH",17,40,2,5,15,35,19,44,7,16,43,491.9,30.7,21
"Groton-Dunstable",2021,10,"Grade 10","06730000","ELA",132,80,36,22,96,59,27,16,5,3,164,515.5,63.9,148
"Groton-Dunstable",2021,10,"Grade 10","06730000","MATH",133,81,52,32,81,49,26,16,5,3,164,519.6,56.1,150
"Hadley",2021,10,"Grade 10","01170000","ELA",26,72,7,19,19,53,8,22,2,6,36,509.9,53.1,35
"Hadley",2021,10,"Grade 10","01170000","MATH",14,40,0,0,14,40,17,49,4,11,35,495.1,43,34
"Hamilton-Wenham",2021,10,"Grade 10","06750000","ELA",112,85,50,38,62,47,16,12,4,3,132,524.3,58.9,111
"Hamilton-Wenham",2021,10,"Grade 10","06750000","MATH",96,73,34,26,62,47,30,23,6,5,132,514,47.8,111
"Hampden Charter School of Science East (District)",2021,10,"Grade 10","04990000","ELA",45,56,11,14,34,42,31,38,5,6,81,504.5,49,72
"Hampden Charter School of Science East (District)",2021,10,"Grade 10","04990000","MATH",41,51,9,11,32,40,33,41,6,8,80,502.4,39.5,72
"Hampden Charter School of Science West (District)",2021,10,"Grade 10","35160000","ELA",18,51,1,3,17,49,13,37,4,11,35,498.5,44.6,30
"Hampden Charter School of Science West (District)",2021,10,"Grade 10","35160000","MATH",15,43,1,3,14,40,17,49,3,9,35,494,35.2,30
"Hampden-Wilbraham",2021,10,"Grade 10","06800000","ELA",163,69,40,17,123,52,65,28,7,3,235,510.3,47.4,212
"Hampden-Wilbraham",2021,10,"Grade 10","06800000","MATH",160,68,25,11,135,57,62,26,13,6,235,508.2,50.1,211
"Hampshire",2021,10,"Grade 10","06830000","ELA",69,70,16,16,53,54,26,27,3,3,98,509,51.3,92
"Hampshire",2021,10,"Grade 10","06830000","MATH",60,61,11,11,49,50,33,34,5,5,98,504.5,40.2,92
"Hanover",2021,10,"Grade 10","01220000","ELA",142,83,35,20,107,63,28,16,1,1,171,515.7,57,166
"Hanover",2021,10,"Grade 10","01220000","MATH",120,71,23,14,97,58,44,26,4,2,168,510.1,42.4,163
"Harvard",2021,10,"Grade 10","01250000","ELA",69,92,47,63,22,29,5,7,1,1,75,531.1,62.6,67
"Harvard",2021,10,"Grade 10","01250000","MATH",68,91,33,44,35,47,6,8,1,1,75,524.4,60.5,68
"Hatfield",2021,10,"Grade 10","01270000","ELA",20,80,5,20,15,60,5,20,0,0,25,514.4,78.1,23
"Hatfield",2021,10,"Grade 10","01270000","MATH",14,56,0,0,14,56,9,36,2,8,25,499.9,39.3,23
"Haverhill",2021,10,"Grade 10","01280000","ELA",191,50,44,11,147,38,129,34,65,17,385,497.8,46.2,309
"Haverhill",2021,10,"Grade 10","01280000","MATH",129,34,16,4,113,30,168,45,77,21,374,490.8,27.6,300
"Hingham",2021,10,"Grade 10","01310000","ELA",299,91,140,42,159,48,28,8,3,1,330,526.9,63.9,306
"Hingham",2021,10,"Grade 10","01310000","MATH",266,81,64,20,202,62,56,17,6,2,328,515.2,55.6,306
"Holbrook",2021,10,"Grade 10","01330000","ELA",47,53,10,11,37,42,32,36,9,10,88,501.8,48.8,65
"Holbrook",2021,10,"Grade 10","01330000","MATH",31,35,2,2,29,33,48,55,9,10,88,494.6,33.8,65
"Holliston",2021,10,"Grade 10","01360000","ELA",170,89,66,34,104,54,20,10,2,1,192,521.9,62.3,184
"Holliston",2021,10,"Grade 10","01360000","MATH",163,85,45,23,118,61,25,13,4,2,192,518,49,182
"Holyoke",2021,10,"Grade 10","01370000","ELA",96,34,10,4,86,30,118,41,71,25,285,488.4,47.8,239
"Holyoke",2021,10,"Grade 10","01370000","MATH",34,12,0,0,34,12,158,56,91,32,283,477.9,26.2,236
"Hoosac Valley Regional",2021,10,"Grade 10","06030000","ELA",29,62,10,21,19,40,15,32,3,6,47,507.3,46.6,44
"Hoosac Valley Regional",2021,10,"Grade 10","06030000","MATH",17,38,2,4,15,33,22,49,6,13,45,493.8,31.5,43
"Hopedale",2021,10,"Grade 10","01380000","ELA",47,65,14,19,33,46,18,25,7,10,72,509.5,50.9,62
"Hopedale",2021,10,"Grade 10","01380000","MATH",41,59,9,13,32,46,20,29,9,13,70,504.5,37.2,60
"Hopkinton",2021,10,"Grade 10","01390000","ELA",267,88,99,33,168,55,35,12,2,1,304,520.8,58.1,284
"Hopkinton",2021,10,"Grade 10","01390000","MATH",252,83,101,33,151,50,49,16,3,1,304,518.9,35.6,284
"Hudson",2021,10,"Grade 10","01410000","ELA",105,63,33,20,72,43,44,26,19,11,168,507.5,50.9,148
"Hudson",2021,10,"Grade 10","01410000","MATH",82,49,18,11,64,39,61,37,23,14,166,497.6,37.1,146
"Hull",2021,10,"Grade 10","01420000","ELA",49,77,21,33,28,44,11,17,4,6,64,514.9,60.5,55
